Latitude	Longitude
31.816382	-106.268592
31.81661	-106.268703
31.816824	-106.364318
31.816827	-106.364266
31.816836	-106.268824
31.816839	-106.364365
31.816851	-106.364219
31.81686	-106.364409
31.816886	-106.364174
31.816901	-106.364445
31.816928	-106.364122
31.816948	-106.364474
31.816983	-106.364058
31.816995	-106.364509
31.817042	-106.364543
31.817046	-106.363985
31.817055	-106.268957
31.817089	-106.364579
31.817109	-106.3639
31.817135	-106.364619
31.817182	-106.363803
31.817187	-106.364663
31.817243	-106.364713
31.817265	-106.363698
31.81727	-106.269102
31.817302	-106.364766
31.817354	-106.363581
31.817363	-106.364825
31.817426	-106.364885
31.817458	-106.363459
31.817482	-106.269258
31.817494	-106.364952
31.817563	-106.365017
31.817567	-106.363334
31.817633	-106.365088
31.817676	-106.363205
31.817684	-106.269422
31.817707	-106.365163
31.81778	-106.365236
31.817789	-106.363078
31.817845	-106.365309
31.817881	-106.269598
31.817903	-106.362948
31.817914	-106.365381
31.817979	-106.365447
31.818019	-106.362814
31.818049	-106.365512
31.818066	-106.269789
31.818115	-106.365574
31.81814	-106.362683
31.818171	-106.365629
31.818214	-106.36567
31.818248	-106.269987
31.81825	-106.365707
31.818261	-106.362549
31.818286	-106.365737
31.818317	-106.365761
31.818347	-106.36578
31.818382	-106.36579
31.818384	-106.362417
31.818418	-106.365785
31.818422	-106.27019
31.81845	-106.365764
31.818483	-106.365741
31.818505	-106.362287
31.81852	-106.365718
31.81856	-106.365687
31.818589	-106.270409
31.818614	-106.365659
31.818628	-106.362156
31.81866	-106.365625
31.818701	-106.364188
31.818701	-106.364187
31.818701	-106.364186
31.818701	-106.364185
31.818702	-106.364186
31.818702	-106.364185
31.818702	-106.364184
31.818703	-106.364185
31.818703	-106.364183
31.818704	-106.364185
31.818704	-106.364181
31.818705	-106.365589
31.818705	-106.364186
31.818705	-106.36418
31.818705	-106.364173
31.818705	-106.364172
31.818706	-106.364186
31.818706	-106.364179
31.818706	-106.364177
31.818706	-106.364172
31.818707	-106.364186
31.818707	-106.364185
31.818707	-106.364176
31.818707	-106.364172
31.818707	-106.364171
31.818708	-106.364185
31.818708	-106.364175
31.818708	-106.364174
31.818708	-106.364173
31.818708	-106.364172
31.818708	-106.364171
31.818708	-106.36417
31.818709	-106.364185
31.818709	-106.364171
31.818709	-106.36417
31.818709	-106.364169
31.81871	-106.364185
31.81871	-106.364171
31.81871	-106.364166
31.818711	-106.364185
31.818712	-106.364186
31.818712	-106.364185
31.818713	-106.364186
31.818714	-106.364186
31.818715	-106.364186
31.818716	-106.364186
31.818717	-106.364186
31.818719	-106.364167
31.818732	-106.364177
31.81874	-106.270643
31.818749	-106.365546
31.818752	-106.362029
31.818753	-106.364198
31.818784	-106.365498
31.818784	-106.36423
31.818817	-106.365456
31.818818	-106.364266
31.818842	-106.365424
31.818859	-106.364308
31.818868	-106.365386
31.818875	-106.361904
31.818886	-106.270876
31.818891	-106.365351
31.818897	-106.364344
31.818908	-106.365323
31.81892	-106.365307
31.818925	-106.365297
31.81893	-106.36529
31.81893	-106.365284
31.818933	-106.365282
31.818934	-106.365285
31.818934	-106.365284
31.818934	-106.365283
31.818934	-106.365282
31.818934	-106.365281
31.818935	-106.365283
31.818935	-106.365282
31.818935	-106.36438
31.818938	-106.365275
31.818941	-106.365231
31.818941	-106.36523
31.818941	-106.365229
31.818941	-106.365228
31.818942	-106.365233
31.818942	-106.365231
31.818942	-106.365228
31.818942	-106.365227
31.818943	-106.365262
31.818944	-106.365248
31.818945	-106.365235
31.818947	-106.365239
31.818948	-106.365236
31.81895	-106.365208
31.818956	-106.365181
31.818962	-106.365141
31.81897	-106.365097
31.818974	-106.364415
31.818975	-106.365052
31.818987	-106.365
31.819001	-106.361782
31.819009	-106.36495
31.819011	-106.364457
31.81902	-106.271121
31.819033	-106.364899
31.81905	-106.364497
31.819058	-106.364846
31.819087	-106.364527
31.819088	-106.364797
31.819115	-106.364749
31.819117	-106.364575
31.819123	-106.361662
31.819127	-106.364693
31.819129	-106.364634
